,book,author,price
77,เพลงกัลปพฤกษ์ (ชุดวุ่นนักรักบุษบา),เก้าแต้ม,247.00 บาท
78,เกมรักปาฏิหาริย์,วศิธารา,230.00 บาท
79,คุณหนูตระกูลมาเฟีย,กัณฑ์กนิษฐ์,263.00 บาท
80,น้องเอ๋ย พี่เอ่ย ขอข้าวขอแกง,ฝันเอ้อระเหย,383.00 บาท
81,เมรัยพิศวาส,เข็มพลอย,340.00 บาท
82,รอยสักสายฟ้า,ดวงตะวัน,383.00 บาท
83,รอยสักอัคนี,นายตะวัน,323.00 บาท
84,ควีนชาร์ลอตต์,จูเลีย ควินน์,306.00 บาท
85,เส้นทางรักมิสบริดเจอร์ตัน (โร้กสบี 4),จูเลีย ควินน์,272.00 บาท
86,รอมชอมรักชีคทะเลทราย (มายาทะเลทราย),กานต์มณี,237.00 บาท
87,ร้านเครื่องหอมต้องมนตร์ของคนโสด,กิตติศักดิ์ คงคา,225.00 บาท
88,เมื่อข้าต้องเป็นมารดาลูกแฝดของตัวร้าย,หลิงเฟยหยา,387.00 บาท
89,ภรรยาลับที่เผลอรักคุณ (ดวงใจวรลัญช์),วรินทร์นารี,220.00 บาท
90,ชุดในสมองของพระเอกบรรจุฯ 1-2 (2เล่มจบ),กุลิสรา,723.00 บาท
91,เมื่อพระเอกไร้ใจผู้นั้นปักข้าเป็นชายา,Ji Teng (จื่อเถิง),255.00 บาท
92,ร้ายผันรัก,ใกล้ฟ้า,304.00 บาท
93,ให้ท่านได้ทานของอร่อย,Xiaolanlu69,391.00 บาท
94,อุบายนางหงส์,มนต์มิถุนา,340.00 บาท
95,21 วันดีเดย์รักแท้,วาณี,234.00 บาท
96,รักหนึ่งได้ถึงสอง (นวนิยายชุด รักติดโปร),เมญาณี,324.00 บาท
97,ชุด นาคาเคียงจันทร์ เล่ม 1-2 (จบ),คามิเลียสีชมพู,442.00 บาท
98,เสน่หาผีเสื้อราตรี,จรสจันทร์,298.00 บาท
99,ปรารถนารักคนใจร้าย,กัณฑ์กนิษฐ์,229.00 บาท
100,เล่ห์รักสุดหัวใจ (เล่ห์รัก),กานต์มณี,220.00 บาท
101,หนึ่งรักร้อนเกินบรรยาย,อัญชรีย์,476.10 บาท
102,ก่อนฟ้าสาง,ม.มธุการี,323.00 บาท
103,กลิ่นการเวก (ปกใหม่),พงศกร,442.00 บาท
104,พ่อลูกอ่อนอ้อนรัก,ปรากฏการณ์,220.00 บาท
105,HAMLET,William Shakespeare (วิลเลียม เชกสเปียร์),279.00 บาท
106,หัวใจซ่อนเล็บ,ภาพิมล,207.00 บาท
107,พ่อของลูกที่ไม่ใช่สามี,พัพพุ,297.00 บาท
