,book,author,price
691,การินการ์ตูน24(คดี 10) บทแรก ต.ตุงหนังมน,อัยย์,58.50 บาท
692,สาวน้อยเกวลิน ตอน คลั่งดารา,อลินา,117.00 บาท
693,สาวน้อยเกวลิน ตอน จากตายจากเป็น,อลินา,108.00 บาท
694,อุโมงค์มาร,จินตวีร์ วิวัธน์(จินตนา ปิ่นเฉลียว),378.00 บาท
695,เสกอสุรกาย,จินตวีร์ วิวัธน์(จินตนา ปิ่นเฉลียว),270.00 บาท
696,Codename : Bloody Mary รหัสเลือดล่าสังหาร,Lilita,170.10 บาท
697,สังหรณ์ฆาตกร,นิชธารณ์,135.00 บาท
698,บ้านศิลาทราย,จินตวีร์ วิวัธน์(จินตนา ปิ่นเฉลียว),432.00 บาท
699,UNKNOWN ปริศนา-ชมรม-อาถรรพ์,Asietha,197.10 บาท
700,ภารกิจซาตาน,ปนาพันธ์,256.50 บาท
701,สาปศพนางฟ้า 3 ความงาม ซากศพ ฆาตกร,กันย์ & Dim-Sum Studio,170.10 บาท
702,นางแค้น (4 ทิศตาย),ภาคินัย,224.10 บาท
703,ผีทวงชีวิต,กริชอาคม,126.00 บาท
704,โรงเรียนอาถรรพ์ กับฝันมรณะ,มายเมธา,207.00 บาท
705,หมอดูยอดนักสืบ,กองบรรณาธิการ,148.50 บาท
706,Parasite ปรสิตสังหาร ล.3(เล่มจบ),Half-life,130.50 บาท
707,Clairvoyant จิตสัมผัสตาย,ปัณณ์,144.00 บาท
708,Malediction รักสาปส่ง,ปัณณ์,144.00 บาท
709,The Alternate พลิกปมแค้น สลับแผนฆาตกรรม,รตกร,157.50 บาท
710,กระจกล่าวิญญาณ : กำเนิดกระจกมายา,ชวลักษณ์,178.20 บาท
711,การิน BlaCX ปริศนาอาถรรพ์ 'สีดำ' 3,อัยย์/Black Tohfu,152.10 บาท
712,เล่นซ่อนผี,ปัณณ์,117.00 บาท
713,เรือนสาบสาง,อัณณ์,126.00 บาท
714,การิน ปริศนาคดีอาถรรพ์ ภาค 2 ล.3 เสียงสะท้อนบาป,อัยย์,161.10 บาท
715,Rouge เงาเลือด,โทชิโอธ คามาตะ,180.00 บาท
716,7 DOLLS กับปริศนาในสวนสนุก,อลิส เจ กอบแก้ว,162.00 บาท
717,GHOST TEST แบบทดสอบผี,Staying,197.10 บาท
718,มิติเร้น,จินตวีร์ วิวัธน์(จินตนา ปิ่นเฉลียว),198.00 บาท
719,สาปภูษา (ปกใหม่),พงศกร,378.00 บาท
720,วังไวกูณฑ์,จินตวีร์ วิวัธน์(จินตนา ปิ่นเฉลียว),378.00 บาท
721,Fake-Lie-Die : Fake เสแสร้ง แกล้ง ตาย,เมธวิน,188.10 บาท
722,การิน ปริศนาคดีอาถรรพ์ คดีที่ 4 บทกลาง : พิพิธภัณฑ์คนบาป (การ์ตูน),อัยย์,58.50 บาท
723,พฤกษนิยาย,ส.พลายน้อย,288.00 บาท
724,อมุษยนิยาย,ส.พลายน้อย,207.00 บาท
725,การิน ปริศนาคดีอาถรรพ์ คดีที่ 5 บทแรก : สะพานข้ามอัสดงแห่งความตาย (การ์ตูน),อัยย์,58.50 บาท
726,ศาสตร์สะกดรอยผี 3,Staying,206.10 บาท
727,Fake-Lie-Die : Die เพื่อน (ตาย) ไม่ทิ้งกัน,เมธวิน,188.10 บาท
