,book,author,price
55,อริสเทีย จักรพรรดินีผู้ถูกลืม เล่มพิเศษ,Yuna,314.10 บาท
56,อริสเทีย จักรพรรดินีผู้ถูกลืม เล่ม 5,Yuna,382.00 บาท
57,The Master of Witharia เล่ม 1,กัลฐิดา,204.00 บาท
58,นิทานของบีเดิลยอดกวี,J.K. Rowling (เจ. เค. โรว์ลิง),293.00 บาท
59,ควิดดิชในยุคต่าง ๆ,J.K. Rowling (เจ. เค. โรว์ลิง),293.00 บาท
60,สัตว์มหัศจรรย์และถิ่นที่อยู่,J.K. Rowling (เจ. เค. โรว์ลิง),293.00 บาท
61,บ้านวิเศษของพ่อมดนอร์แลนด์ (Howl 3),Diana Wynne Jones,272.00 บาท
62,ปราสาทกลางเวหา (Howl 2),Diana Wynne Jones,272.00 บาท
63,ปราสาทเวทมนตร์ของฮาวล์ (Howl 1),Diana Wynne Jones,272.00 บาท
64,มุมมองนักอ่านพระเจ้า เล่ม 20 (ฉบับพิมพ์ครั้งที่ 2),sing N song,265.50 บาท
65,มุมมองนักอ่านพระเจ้า เล่ม 21 (ฉบับพิมพ์ครั้งที่ 2),sing N song,265.50 บาท
66,ยอดสถาปนิกผู้พิทักษ์อาณาจักร เล่ม 2,BK_Moon,314.00 บาท
67,ยอดสถาปนิกผู้พิทักษ์อาณาจักร เล่ม  1,BK_Moon,314.00 บาท
68,The Heroes of Olympus เคหาสน์แห่งฮาเดส 4 (New Edition),Rick Riordan (ริค ไรออร์แดน),485.10 บาท
69,The Heroes of Olympus บุตรแห่งสมุทรเทพ 2 (New Edition),Rick Riordan (ริค ไรออร์แดน),449.10 บาท
70,The Heroes of Olympus วีรบุรุษผู้สาบสูญ 1 (New Edition),Rick Riordan (ริค ไรออร์แดน),449.10 บาท
71,The Heroes of Olympus โลหิตแห่งโอลิมปัส 5 (New Edition),Rick Riordan (ริค ไรออร์แดน),422.10 บาท
72,The Heroes of Olympus รอยตราอาธีน่า 3 (New Edition),Rick Riordan (ริค ไรออร์แดน),476.10 บาท
73,ผมแค่อยากเป็นพนักงานธรรมดา แต่ดันเกิดมาชะตาเป็นร่างทรง เล่ม 5,Youngwan,387.00 บาท
74,ปล่อยแม่มดคนนั้นซะ เล่ม 21,Er Mu,395.10 บาท
75,หวังทง องครักษ์เสื้อแพร 18 (เล่มจบ),เท่อเปี๋ยไป๋,387.00 บาท
76,หวังทง องครักษ์เสื้อแพร  เล่ม 17,เท่อเปี๋ยไป๋,387.00 บาท
77,ผนึกสวรรค์ สยบมาร สะท้านเทพ เล่ม 20,เอ่อร์เกิน Er Gen,331.00 บาท
78,มหาศึกแห่งดูน 2 พระประสงค์แห่งทราย DUNE,Frank Herbert (แฟรงค์ เฮอร์เบิร์ต),327.00 บาท
79,ผมแค่อยากเป็นพนักงานธรรมดา แต่ดันเกิดมาชะตาเป็นร่างทรง เล่ม 4,Youngwan,378.00 บาท
80,ผมแค่อยากเป็นพนักงานธรรมดา แต่ดันเกิดมามีชะตาเป็นร่างทรง เล่ม 3,Youngwan,378.00 บาท
81,ปล่อยแม่มดคนนั้นซะ เล่ม 20,Er Mu,365.00 บาท
82,ผนึกสวรรค์ สยบมาร สะท้านเทพ เล่ม 19,เอ่อร์เกิน Er Gen,331.00 บาท
83,หวังทง องครักษ์เสื้อแพร เล่ม 16,เท่อเปี๋ยไป๋,378.00 บาท
84,หวังทง องครักษ์เสื้อแพร 15,เท่อเปี๋ยไป๋,378.00 บาท
85,มุมมองนักอ่านพระเจ้า เล่ม 19 (ฉบับพิมพ์ครั้งที่ 2),sing N song,236.00 บาท
86,ปล่อยแม่มดคนนั้นซะ 19,Er Mu,343.00 บาท
87,ผมแค่อยากเป็นพนักงานธรรมดา แต่ดันเกิดมามีชะตาเป็นร่างทรง เล่ม 2,Youngwan,356.00 บาท
88,ผมแค่อยากเป็นพนักงานธรรมดา แต่ดันเกิดมามีชะตาเป็นร่างทรง เล่ม 1,Youngwan,356.00 บาท
89,เรเลียนา พระเอกของฉันเป็นท่านดยุก เล่ม 3,Milcha,319.00 บาท
90,Gods of Jade and Shadowหยกเงาและเถ้าควัน,Silvia Moreno-Garcia,316.00 บาท
91,รหัสนัยกุญแจปริศนา ภาคนาคราชแห่งแอตแลนติส เล่ม 2,Regain,359.10 บาท
92,ผนึกสวรรค์ สยบมาร สะท้านเทพ เล่ม 18,เอ่อร์เกิน Er Gen,295.00 บาท
93,หวังทง องครักษ์เสื้อแพร 14,เท่อเปี๋ยไป๋,348.00 บาท
94,ขอที ผมคนนี้อยากหนีจากบทพระรอง 2,Sookym,360.00 บาท
95,หวังทง องครักษ์เสื้อแพร 13,เท่อเปี๋ยไป๋,348.00 บาท
96,ทศกัณฐ์ ราชาอสูรกับปริศนาแห่งฤาษี,แทมลิน บี,375.25 บาท
97,อัลคาแทรซผจญอัศวินแห่งฯ (ALCATRAZ 3),แบรนดอน แซนเดอร์สัน,243.00 บาท
98,เกมแลกกรรม,ชลนิล,320.00 บาท
99,แฮร์รี่ พอตเตอร์ พลิกปูมโลกเวทมนตร์,J.K. Rowling (เจ. เค. โรว์ลิง),"1,377.50 บาท"
100,มุมมองนักอ่านพระเจ้า เล่ม 18 (ฉบับพิมพ์ครั้งที่ 2),sing N song,236.00 บาท
101,มุมมองนักอ่านพระเจ้า เล่ม 17 (ฉบับพิมพ์ครั้งที่ 2),sing N song,236.00 บาท
102,ปล่อยแม่มดคนนั้นซะ 18,Er Mu,343.00 บาท
103,มรดกลับใต้ทะเลลึก,Rick Riordan (ริค ไรออร์แดน),343.00 บาท
