,book,author,price
58,พ้นเที่ยงคืนกลืนมิติ เล่ม 7,เหยียนเหลียงอวี่,404.10 บาท
59,Code Name Clay โค้ดเนมเคลย์,jiwinil,386.10 บาท
60,พวกผีรู้ดีชีวิตนี้ฉันผ่านอะไรมาบ้าง เล่ม 3,โม่เฉินฮวน,377.10 บาท
61,ทะเลคลั่งภวังค์วิปลาส เล่ม 3,เหลียงฉาน,359.10 บาท
62,ฮนบุล แสงไฟแห่งดวงวิญญาณ เล่ม 4,toldju,409.50 บาท
63,The Boy next world คนละกาลเวลา,MAME,475.00 บาท
64,พันธะเถ้ากุหลาบ,'2nov2,369.00 บาท
65,เกิดใหม่มาอยู่ในร่างของไอดอลสุดฉาว,cherrybear,324.00 บาท
66,เล่ห์รักจอมโจร เล่ม 3,อวี่เซี่ยวหลานซาน,445.50 บาท
67,ร้านอาหารปี่เซี๊ยะเข้าได้แต่ห้ามออก เล่ม 1,ไห่จิงลั่ว,358.20 บาท
68,มงกุฎเลือด เล่ม 6,สุ่ยเชียนเฉิง,399.60 บาท
69,สตรีมเมอร์รีวิวชีวิตประจําวันของการเป็นภรรยาท่านนายพล,Yukoena,351.00 บาท
70,สิ้นแสงอนธการ เล่ม 4,โร่วเปาปู้ชือโร่ว (rou bao bu chi rou),400.50 บาท
71,ฮนบุล แสงไฟแห่งดวงวิญญาณ เล่ม 3,toldju,409.50 บาท
72,จู่ๆผมก็ได้แต่งงานกับชายที่ได้ฉายาว่าเทพเจ้าหมื่นศพซะงั้น?,PURIN,449.10 บาท
73,ห้องแห่งอนธการอันไกลโพ้น เล่ม 3,ซีจื่อซวี่,431.10 บาท
74,Rose and Renaissance เล่ม 3 (4 เล่มจบ),จื้อฉู่,405.00 บาท
75,Rose and Renaissance เล่ม 4 (จบ),จื้อฉู่,405.00 บาท
76,Listela of Xenolia เสียงเพรียกแห่งซีโนเลีย,Xeiji,359.10 บาท
77,เมื่อผมทำสัญญาแต่งงานกับราชาภาพยนตร์ เล่ม  1,กู้เจิง,436.05 บาท
78,Game Loading เล่ม 6,หลงชี,414.00 บาท
